policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 566: Reward 161
Episode 567: Reward 135
Episode 568: Reward 128
Episode 569: Reward 84
Episode 570: Reward 112
Episode 571: Reward 109
Episode 572: Reward 200
Episode 573: Reward 163
Episode 574: Reward 200
Episode 575: Reward 131
Episode 576: Reward 98
Episode 577: Reward 156
Episode 578: Reward 122
Episode 579: Reward 159
Episode 580: Reward 160
Episode 581: Reward 197
Episode 582: Reward 99
Episode 583: Reward 184
Episode 584: Reward 142
Episode 585: Reward 200
Episode 586: Reward 137
Episode 587: Reward 164
Episode 588: Reward 142
Episode 589: Reward 164
Episode 590: Reward 120
Episode 591: Reward 180
Episode 592: Reward 200
Episode 593: Reward 200
Episode 594: Reward 147
Episode 595: Reward 173
Episode 596: Reward 200
Episode 597: Reward 48
Episode 598: Reward 40
Episode 599: Reward 145
Episode 600: Reward 180
Episode 601: Reward 200
Episode 602: Reward 152
Episode 603: Reward 144
Episode 604: Reward 178
Episode 605: Reward 71
Episode 606: Reward 172
Episode 607: Reward 118
Episode 608: Reward 198
Episode 609: Reward 161
Episode 610: Reward 166
Episode 611: Reward 118
Episode 612: Reward 144
Episode 613: Reward 200
Episode 614: Reward 179
Episode 615: Reward 173
Episode 616: Reward 126
Episode 617: Reward 100
Episode 618: Reward 200
Episode 619: Reward 177
Episode 620: Reward 200
Episode 621: Reward 144
Episode 622: Reward 200
Episode 623: Reward 200
Episode 624: Reward 200
Episode 625: Reward 173
Episode 626: Reward 200
Episode 627: Reward 200
Episode 628: Reward 200
Episode 629: Reward 200
Episode 630: Reward 197
Episode 631: Reward 176
Episode 632: Reward 200
Episode 633: Reward 158
Episode 634: Reward 200
Episode 635: Reward 19
Episode 636: Reward 200
